天生绝配　　　　　　　　　	real: 6.3　　	predict: 5.7  	accuracy: 95.04%
用爱捉伊人　　　　　　　　	real: 6.6　　	predict: 5.97 	accuracy: 95.02%
小男人周记　　　　　　　　	real: 6.6　　	predict: 5.97 	accuracy: 95.02%
龙火　　　　　　　　　　　	real: 6.0　　	predict: 6.63 	accuracy: 95.01%
欲望之城　　　　　　　　　	real: 5.7　　	predict: 6.3  	accuracy: 94.96%
魔鬼天使　　　　　　　　　	real: 6.1　　	predict: 6.75 	accuracy: 94.95%
两厢情愿　　　　　　　　　	real: 6.5　　	predict: 5.87 	accuracy: 94.93%
画中仙　　　　　　　　　　	real: 6.5　　	predict: 5.87 	accuracy: 94.92%
行规　　　　　　　　　　　	real: 6.4　　	predict: 5.78 	accuracy: 94.9%
公仆　　　　　　　　　　　	real: 7.4　　	predict: 6.67 	accuracy: 94.83%
绝种好男人　　　　　　　　	real: 5.8　　	predict: 6.44 	accuracy: 94.81%
夏日情人　　　　　　　　　	real: 6.0　　	predict: 5.41 	accuracy: 94.81%
今天不回家　　　　　　　　	real: 7.7　　	predict: 6.94 	accuracy: 94.81%
干柴烈火　　　　　　　　　	real: 6.5　　	predict: 7.21 	accuracy: 94.8%
小鬼三个爸　　　　　　　　	real: 6.7　　	predict: 6.03 	accuracy: 94.74%
BB 30　　　　　　　　	real: 6.3　　	predict: 5.66 	accuracy: 94.64%
温柔乡　　　　　　　　　　	real: 6.2　　	predict: 6.9  	accuracy: 94.62%
带剑的小孩　　　　　　　　	real: 6.9　　	predict: 7.68 	accuracy: 94.62%
祝福　　　　　　　　　　　	real: 7.4　　	predict: 6.64 	accuracy: 94.59%
福星闯江湖　　　　　　　　	real: 6.5　　	predict: 5.83 	accuracy: 94.58%
不许抢劫　　　　　　　　　	real: 7.1　　	predict: 6.37 	accuracy: 94.54%
恐怖热线之大头怪婴　　　　	real: 6.5　　	predict: 5.83 	accuracy: 94.53%
千王1991　　　　　　　	real: 6.6　　	predict: 5.91 	accuracy: 94.52%
欢乐神仙窝　　　　　　　　	real: 7.1　　	predict: 6.36 	accuracy: 94.5%
假男假女　　　　　　　　　	real: 6.3　　	predict: 5.64 	accuracy: 94.49%
爱造飞鸡　　　　　　　　　	real: 7.4　　	predict: 6.62 	accuracy: 94.46%
癫凤狂龙　　　　　　　　　	real: 6.3　　	predict: 5.64 	accuracy: 94.43%
风流家族　　　　　　　　　	real: 5.2　　	predict: 5.82 	accuracy: 94.39%
舞衣　　　　　　　　　　　	real: 6.4　　	predict: 7.16 	accuracy: 94.39%
我要做Model　　　　　	real: 5.7　　	predict: 6.38 	accuracy: 94.37%
天官赐福　　　　　　　　　	real: 6.5　　	predict: 5.8  	accuracy: 94.31%
美好2015　　　　　　　	real: 5.4　　	predict: 6.05 	accuracy: 94.3%
南国再见，南国　　　　　　	real: 8.0　　	predict: 7.12 	accuracy: 94.2%
报告典狱长　　　　　　　　	real: 6.3　　	predict: 5.61 	accuracy: 94.19%
癫佬正传　　　　　　　　　	real: 8.5　　	predict: 7.56 	accuracy: 94.18%
不道德的礼物　　　　　　　	real: 6.1　　	predict: 5.43 	accuracy: 94.15%
苦恋　　　　　　　　　　　	real: 7.3　　	predict: 6.49 	accuracy: 94.12%
大三元　　　　　　　　　　	real: 7.3　　	predict: 8.21 	accuracy: 94.12%
細佬識講野!　　　　　　　	real: 6.6　　	predict: 5.86 	accuracy: 94.1%
