巨齿鲨　　　　　　　　　　　　　　　	real: 10.13%　　　	predict: 3.17%　　　　	accuracy: 47.67%
赛尔号大电影7：疯狂机器城　　　　　	real: 0.34%　　　　	predict: 1.09%　　　　	accuracy: 47.54%
无名之辈　　　　　　　　　　　　　　	real: 9.89%　　　　	predict: 3.07%　　　　	accuracy: 47.35%
说走就走之不说再见　　　　　　　　　	real: 0.4%　　　　　	predict: 1.3%　　　　　	accuracy: 47.33%
疯狂的麻将　　　　　　　　　　　　　	real: 0.01%　　　　	predict: 0.03%　　　　	accuracy: 47.3%
大导归来　　　　　　　　　　　　　　	real: 0.07%　　　　	predict: 0.25%　　　　	accuracy: 46.47%
别岁　　　　　　　　　　　　　　　　	real: 0.07%　　　　	predict: 0.22%　　　　	accuracy: 46.41%
密战　　　　　　　　　　　　　　　　	real: 3.49%　　　　	predict: 1.05%　　　　	accuracy: 46.11%
奇葩朵朵　　　　　　　　　　　　　　	real: 2.55%　　　　	predict: 0.76%　　　　	accuracy: 45.83%
恐龙王　　　　　　　　　　　　　　　	real: 0.53%　　　　	predict: 1.78%　　　　	accuracy: 45.69%
影　　　　　　　　　　　　　　　　　	real: 9.39%　　　　	predict: 2.76%　　　　	accuracy: 45.45%
悟空奇遇记　　　　　　　　　　　　　	real: 0.39%　　　　	predict: 1.33%　　　　	accuracy: 45.45%
一吻定情　　　　　　　　　　　　　　	real: 2.9%　　　　　	predict: 0.84%　　　　	accuracy: 45.17%
动物世界　　　　　　　　　　　　　　	real: 5.43%　　　　	predict: 1.58%　　　　	accuracy: 45.11%
过春天　　　　　　　　　　　　　　　	real: 0.33%　　　　	predict: 1.13%　　　　	accuracy: 45.1%
我们全家不太熟　　　　　　　　　　　	real: 0.01%　　　　	predict: 0.05%　　　　	accuracy: 44.88%
嘻哈英熊　　　　　　　　　　　　　　	real: 0.19%　　　　	predict: 0.66%　　　　	accuracy: 44.75%
一路绽放　　　　　　　　　　　　　　	real: 0.38%　　　　	predict: 1.33%　　　　	accuracy: 44.07%
反贪风暴4　　　　　　　　　　　　　	real: 9.36%　　　　	predict: 2.62%　　　　	accuracy: 43.72%
尖叫直播　　　　　　　　　　　　　　	real: 0.14%　　　　	predict: 0.5%　　　　　	accuracy: 43.49%
天梦　　　　　　　　　　　　　　　　	real: 0.01%　　　　	predict: 0.04%　　　　	accuracy: 43.42%
深海历险记　　　　　　　　　　　　　	real: 0.48%　　　　	predict: 1.75%　　　　	accuracy: 42.95%
芒刺　　　　　　　　　　　　　　　　	real: 0.01%　　　　	predict: 0.04%　　　　	accuracy: 42.87%
你在哪　　　　　　　　　　　　　　　	real: 0.19%　　　　	predict: 0.7%　　　　　	accuracy: 42.83%
恐怖电影院2　　　　　　　　　　　　	real: 0.14%　　　　	predict: 0.52%　　　　	accuracy: 42.59%
烈火英雄　　　　　　　　　　　　　　	real: 12.56%　　　	predict: 3.38%　　　　	accuracy: 42.45%
常在你左右　　　　　　　　　　　　　	real: 2.4%　　　　　	predict: 0.64%　　　　	accuracy: 42.24%
地球最后的夜晚　　　　　　　　　　　	real: 7.06%　　　　	predict: 1.88%　　　　	accuracy: 41.98%
环太平洋：雷霆再起　　　　　　　　　	real: 3.71%　　　　	predict: 0.98%　　　　	accuracy: 41.94%
七月半3：灵触第七感　　　　　　　　	real: 0.26%　　　　	predict: 0.99%　　　　	accuracy: 41.5%
风中有朵雨做的云　　　　　　　　　　	real: 3.34%　　　　	predict: 0.86%　　　　	accuracy: 40.85%
解码游戏　　　　　　　　　　　　　　	real: 0.22%　　　　	predict: 0.86%　　　　	accuracy: 40.82%
西虹市首富　　　　　　　　　　　　　	real: 17.03%　　　	predict: 4.33%　　　　	accuracy: 40.53%
大人物　　　　　　　　　　　　　　　	real: 8.64%　　　　	predict: 2.19%　　　　	accuracy: 40.44%
脱单告急　　　　　　　　　　　　　　	real: 0.12%　　　　	predict: 0.47%　　　　	accuracy: 39.45%
新喜剧之王　　　　　　　　　　　　　	real: 4.65%　　　　	predict: 1.13%　　　　	accuracy: 39.25%
胖子行动队　　　　　　　　　　　　　	real: 6.43%　　　　	predict: 1.57%　　　　	accuracy: 39.24%
大世界　　　　　　　　　　　　　　　	real: 0.12%　　　　	predict: 0.5%　　　　　	accuracy: 38.98%
深宫怨灵　　　　　　　　　　　　　　	real: 0.27%　　　　	predict: 1.12%　　　　	accuracy: 38.81%
黄金兄弟　　　　　　　　　　　　　　	real: 7.31%　　　　	predict: 1.73%　　　　	accuracy: 38.23%
脱皮爸爸　　　　　　　　　　　　　　	real: 0.06%　　　　	predict: 0.24%　　　　	accuracy: 38.0%
猪猪侠·不可思议的世界　　　　　　　	real: 0.4%　　　　　	predict: 1.73%　　　　	accuracy: 37.6%
阿飞正传　　　　　　　　　　　　　　	real: 0.3%　　　　　	predict: 1.28%　　　　	accuracy: 37.56%
我不是药神　　　　　　　　　　　　　	real: 17.77%　　　	predict: 4.1%　　　　　	accuracy: 37.46%
灿烂这一刻　　　　　　　　　　　　　	real: 0.09%　　　　	predict: 0.4%　　　　　	accuracy: 36.76%
碟仙　　　　　　　　　　　　　　　　	real: 0.52%　　　　	predict: 2.3%　　　　　	accuracy: 36.73%
泡芙小姐　　　　　　　　　　　　　　	real: 1.91%　　　　	predict: 0.43%　　　　	accuracy: 36.64%
比悲伤更悲伤的故事　　　　　　　　　	real: 11.11%　　　	predict: 2.49%　　　　	accuracy: 36.63%
送我上青云　　　　　　　　　　　　　	real: 0.51%　　　　	predict: 2.31%　　　　	accuracy: 36.49%
S4侠降魔记　　　　　　　　　　　　	real: 0.16%　　　　	predict: 0.71%　　　　	accuracy: 36.4%
六连煞　　　　　　　　　　　　　　　	real: 0.07%　　　　	predict: 0.31%　　　　	accuracy: 36.22%
追捕　　　　　　　　　　　　　　　　	real: 5.66%　　　　	predict: 1.23%　　　　	accuracy: 35.71%
狄仁杰之四大天王　　　　　　　　　　	real: 6.85%　　　　	predict: 1.48%　　　　	accuracy: 35.6%
蓝色生死恋　　　　　　　　　　　　　	real: 0.06%　　　　	predict: 0.26%　　　　	accuracy: 35.38%
李茶的姑妈　　　　　　　　　　　　　	real: 10.85%　　　	predict: 2.29%　　　　	accuracy: 34.82%
我要上头条　　　　　　　　　　　　　	real: 0.02%　　　　	predict: 0.11%　　　　	accuracy: 34.42%
监狱犬计划　　　　　　　　　　　　　	real: 0.08%　　　　	predict: 0.41%　　　　	accuracy: 34.25%
冷恋时代　　　　　　　　　　　　　　	real: 0.21%　　　　	predict: 1.03%　　　　	accuracy: 33.9%
那些女人　　　　　　　　　　　　　　	real: 0.28%　　　　	predict: 1.36%　　　　	accuracy: 33.67%
反贪风暴3　　　　　　　　　　　　　	real: 9.65%　　　　	predict: 1.93%　　　　	accuracy: 33.28%
小公主艾薇拉与神秘王国　　　　　　　	real: 0.18%　　　　	predict: 0.9%　　　　　	accuracy: 33.1%
心理罪之城市之光　　　　　　　　　　	real: 4.74%　　　　	predict: 0.93%　　　　	accuracy: 32.9%
无问西东　　　　　　　　　　　　　　	real: 8.41%　　　　	predict: 1.65%　　　　	accuracy: 32.8%
神奇马戏团之动物饼干　　　　　　　　	real: 0.46%　　　　	predict: 2.36%　　　　	accuracy: 32.7%
小狗奶瓶　　　　　　　　　　　　　　	real: 0.12%　　　　	predict: 0.61%　　　　	accuracy: 32.65%
蝴蝶公墓　　　　　　　　　　　　　　	real: 0.72%　　　　	predict: 0.14%　　　　	accuracy: 32.56%
北方一片苍茫　　　　　　　　　　　　	real: 0.05%　　　　	predict: 0.28%　　　　	accuracy: 32.15%
解忧杂货店　　　　　　　　　　　　　	real: 4.8%　　　　　	predict: 0.91%　　　　	accuracy: 31.98%
守边人　　　　　　　　　　　　　　　	real: 0.36%　　　　	predict: 1.93%　　　　	accuracy: 31.74%
命运速递　　　　　　　　　　　　　　	real: 0.1%　　　　　	predict: 0.56%　　　　	accuracy: 31.6%
让我怎么相信你　　　　　　　　　　　	real: 0.12%　　　　	predict: 0.63%　　　　	accuracy: 30.86%
飞驰人生　　　　　　　　　　　　　　	real: 11.48%　　　	predict: 2.02%　　　　	accuracy: 29.89%
天籁梦想　　　　　　　　　　　　　　	real: 0.03%　　　　	predict: 0.16%　　　　	accuracy: 29.88%
超时空同居　　　　　　　　　　　　　	real: 11.63%　　　	predict: 2.04%　　　　	accuracy: 29.8%
来电狂响　　　　　　　　　　　　　　	real: 13.46%　　　	predict: 2.33%　　　　	accuracy: 29.54%
扫毒2天地对决　　　　　　　　　　　	real: 11.66%　　　	predict: 1.99%　　　　	accuracy: 29.21%
一出好戏　　　　　　　　　　　　　　	real: 16.27%　　　	predict: 2.75%　　　　	accuracy: 28.95%
中国合伙人2　　　　　　　　　　　　	real: 0.4%　　　　　	predict: 2.34%　　　　	accuracy: 28.94%
无双　　　　　　　　　　　　　　　　	real: 17.02%　　　	predict: 2.84%　　　　	accuracy: 28.59%
妈妈咪鸭　　　　　　　　　　　　　　	real: 0.4%　　　　　	predict: 2.43%　　　　	accuracy: 28.43%
兄弟班　　　　　　　　　　　　　　　	real: 0.07%　　　　	predict: 0.45%　　　　	accuracy: 28.25%
巧虎大飞船历险记　　　　　　　　　　	real: 0.27%　　　　	predict: 1.64%　　　　	accuracy: 28.01%
逆流大叔　　　　　　　　　　　　　　	real: 0.05%　　　　	predict: 0.33%　　　　	accuracy: 27.78%
冒牌搭档　　　　　　　　　　　　　　	real: 0.11%　　　　	predict: 0.67%　　　　	accuracy: 27.55%
撞死了一只羊　　　　　　　　　　　　	real: 0.19%　　　　	predict: 1.19%　　　　	accuracy: 27.53%
哪吒之魔童降世　　　　　　　　　　　	real: 25.29%　　　	predict: 4.0%　　　　　	accuracy: 27.29%
毕业旅行笑翻天　　　　　　　　　　　	real: 0.04%　　　　	predict: 0.27%　　　　	accuracy: 27.29%
二代妖精之今生有幸　　　　　　　　　	real: 5.96%　　　　	predict: 0.94%　　　　	accuracy: 27.26%
肆式青春　　　　　　　　　　　　　　	real: 0.08%　　　　	predict: 0.5%　　　　　	accuracy: 26.5%
爱情公寓　　　　　　　　　　　　　　	real: 8.85%　　　　	predict: 1.31%　　　　	accuracy: 25.77%
玲珑井　　　　　　　　　　　　　　　	real: 0.12%　　　　	predict: 0.83%　　　　	accuracy: 25.5%
灰猴　　　　　　　　　　　　　　　　	real: 0.11%　　　　	predict: 0.74%　　　　	accuracy: 25.22%
笔仙咒怨　　　　　　　　　　　　　　	real: 0.19%　　　　	predict: 1.34%　　　　	accuracy: 25.15%
冠军的心　　　　　　　　　　　　　　	real: 0.08%　　　　	predict: 0.58%　　　　	accuracy: 25.04%
吻隐者　　　　　　　　　　　　　　　	real: 0.09%　　　　	predict: 0.63%　　　　	accuracy: 25.01%
守灵　　　　　　　　　　　　　　　　	real: 0.14%　　　　	predict: 1.0%　　　　　	accuracy: 24.73%
未择之路　　　　　　　　　　　　　　	real: 0.23%　　　　	predict: 1.65%　　　　	accuracy: 24.51%
毒液：致命守护者　　　　　　　　　　	real: 21.76%　　　	predict: 3.01%　　　　	accuracy: 24.28%
奇门遁甲　　　　　　　　　　　　　　	real: 7.41%　　　　	predict: 1.0%　　　　　	accuracy: 23.86%
捉妖记2　　　　　　　　　　　　　　	real: 9.99%　　　　	predict: 1.34%　　　　	accuracy: 23.61%
玩命　　　　　　　　　　　　　　　　	real: 0.04%　　　　	predict: 0.31%　　　　	accuracy: 23.59%
宝贝特攻　　　　　　　　　　　　　　	real: 0.02%　　　　	predict: 0.15%　　　　	accuracy: 23.54%
冰封迷案　　　　　　　　　　　　　　	real: 0.01%　　　　	predict: 0.11%　　　　	accuracy: 23.52%
阿拉姜色　　　　　　　　　　　　　　	real: 0.13%　　　　	predict: 0.98%　　　　	accuracy: 23.27%
